,rank,title,year,link
0,1,The Shawshank Redemption,1994,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
1,2,The Godfather,1972,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
2,3,The Godfather: Part II,1974,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
3,4,The Dark Knight,2008,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
4,5,12 Angry Men,1957,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
5,6,Schindler's List,1993,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
6,7,The Lord of the Rings: The Return of the King,2003,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
7,8,Pulp Fiction,1994,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
8,9,"The Good, the Bad and the Ugly",1966,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
9,10,The Lord of the Rings: The Fellowship of the Ring,2001,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
